taxon_name,tipo,source_information
Abelia grandiflora,['Exótica'],['Exocat ']
Abies pinsapo,"['Exótica', 'Introduced']",['Exocat ']
Abramis brama,['Exótica'],['Exocat ']
Abudefduf vaigiensis,['Exótica'],['Exocat ']
Abutilon grandifolium,"['Exótica', 'Introduced']",['Exocat ']
Abutilon theophrasti,['Exótica'],['Exocat ']
Acacia baileyana,['Exótica'],['Exocat ']
Acacia cyclops,['Exótica'],['Exocat ']
Acacia dealbata,"['Exótica', 'Introduced']",['Exocat ']
Acacia decurrens,['Exótica'],['Exocat ']
Acacia farnesiana,['Exótica'],['Exocat ']
Acacia karroo,['Exótica'],['Exocat ']
Acacia longifolia,['Exótica'],['Exocat ']
Acacia melanoxylon,"['Exótica', 'Introduced']",['Exocat ']
Acacia pycnantha,['Exótica'],['Exocat ']
Acacia retinodes,['Exótica'],['Exocat ']
Acacia rostellifera,['Exótica'],['Exocat ']
Acacia saligna,"['Exótica', 'Introduced']",['Exocat ']
Acalyptris platani,['Exótica'],['Exocat ']
Acanthoscelides obtectus,['Exótica'],['Exocat ']
Acanthus mollis,"['Exótica', 'Introduced']",['Exocat ']
Acca sellowiana,['Exótica'],['Exocat ']
Acer buergerianum,['Introduced'],[]
Acer cappadocicum subsp. cappadocicum,['Exótica'],['Exocat ']
Acer negundo,"['Exótica', 'Introduced']",['Exocat ']
Acer platanoides,['Introduced'],[]
Acer pseudoplatanus,['Exótica'],['Exocat ']
Acer saccharinum,"['Exótica', 'Introduced']",['Exocat ']
Achaearanea tepidariorum,['Exótica'],['Exocat ']
Achatina fulica,"['Exótica', 'Introduced']",['Exocat ']
Achillea arabica,['Exótica'],['Exocat ']
Achillea filipendulina,['Exótica'],['Exocat ']
Achillea ligustica,['Exótica'],['Exocat ']
Achillea ptarmica,['Exótica'],['Exocat ']
Achillea roseoalba,['Exótica'],['Exocat ']
Achnanthes subhudsonis,['Exótica'],['Exocat ']
Achnanthidium catenatum,['Exótica'],['Exocat ']
Acipenser baerii,['Exótica'],['Exocat ']
Acipenser naccarii,['En Peligro'],['Anexo II Conveni Barcelona']
Acipenser sturio,['En Peligro'],['Anexo II Conveni Barcelona']
Acorus calamus,['Exótica'],['Exocat ']
Acridotheres ginginianus,['Exótica'],['Exocat ']
Acridotheres javanicus,['Exótica'],['Exocat ']
Acridotheres spp,['Introduced'],[]
Acridotheres tristis,['Exótica'],['Exocat ']
Acrothamnion preisii,['Introduced'],[]
Acrothamnion preissii,['Exótica'],['Exocat ']
Adelges cooleyi,['Exótica'],['Exocat ']
Adonis aestivalis subsp. aestivalis,['Exótica'],['Exocat ']
Adonis aestivalis subsp. squarrosa,['Exótica'],['Exocat ']
Adonis annua,['Exótica'],['Exocat ']
Adonis flammea,['Exótica'],['Exocat ']
Aedes (Stegomyia) albopictus,['Exótica'],['Exocat ']
Aedes albopictus,['Introduced'],[]
Aegilops cylindrica,['Exótica'],['Exocat ']
Aegypius monachus,['Exótica'],['Exocat ']
Aeonium arboreum,['Exótica'],['Exocat ']
Aeonium canariense,['Exótica'],['Exocat ']
Aeonium haworthii,['Exótica'],['Exocat ']
Aeonium lindleyi,['Exótica'],['Exocat ']
Aesculus hippocastanum,"['Exótica', 'Introduced']",['Exocat ']
Aetomylaeus bovinus,['Protegida'],[]
Agapanthus praecox,['Exótica'],['Exocat ']
Agapornis canus,['Exótica'],['Exocat ']
Agapornis fischeri,['Exótica'],['Exocat ']
Agapornis nigrigenis,['Exótica'],['Exocat ']
Agapornis personatus,['Exótica'],['Exocat ']
Agapornis pullarius,['Exótica'],['Exocat ']
Agapornis roseicollis,['Exótica'],['Exocat ']
Agave americana,"['Exótica', 'Introduced']",['Exocat ']
Agave angustifolia,['Exótica'],['Exocat ']
Agave beauleriana,['Exótica'],['Exocat ']
Agave decipiens,['Exótica'],['Exocat ']
Agave difformis,['Exótica'],['Exocat ']
Agave fourcroydes,['Exótica'],['Exocat ']
Agave ingens,['Exótica'],['Exocat ']
Agave lechuguilla,['Exótica'],['Exocat ']
Agave lurida,['Exótica'],['Exocat ']
Agave salmiana subsp. crassispina,['Exótica'],['Exocat ']
