taxon_name,taxon_id,tipo
Abelmoschus sp,52759,['Exótica']
Acacia longifolia,241813,['Exótica']
Achillea maritima,242192,['Amenazada']
Acrocephalus arundinaceus,242497,['Protegida']
Acrocephalus scirpaceus,242504,['Protegida']
Actitis hypoleucos,242596,['Protegida']
Agave americana,243104,['Invasora']
Alcedo atthis,243600,['Protegida']
Alopochen aegyptiaca,243926,['Invasora']
Amaranthus,39181,['Exótica']
Amaranthus muricatus,244212,['Exótica']
Ambrosia,46926,['Invasora']
Ambrosia psilostachya,244281,['Invasora']
Anthus pratensis,245344,['Protegida']
Apus apus,245686,['Protegida']
Apus pallidus,245691,['Protegida']
Araujia sericifera,245846,['Invasora']
Arctotheca calendula,245902,['Exótica']
Ardea cinerea,245911,['Protegida']
Arundo donax,246807,['Invasora']
Asparagus acutifolius,246918,['Invasora']
Austrocylindropuntia subulata,77957,['Exótica']
Beta vulgaris,248167,['Exótica']
Bubulcus ibis,247515,['Protegida']
Buteo buteo,247786,['Protegida']
Calidris alba,248112,['Protegida']
Canna indica,248645,['Exótica']
Carpobrotus,83185,['Invasora']
Carpobrotus acinaciformis,249415,"['Invasora', 'Invasora']"
Carpobrotus edulis,249420,['Invasora']
Cenchrus,38944,['Invasora']
Cenchrus clandestinus,263197,['Invasora']
Cenchrus incertus,261975,['Invasora']
Cettia cetti,250289,['Protegida']
Charadrius alexandrinus,250490,"['Amenazada', 'Protegida']"
Charadrius dubius,250497,['Protegida']
Charadrius hiaticula,250503,['Protegida']
Chenopodium,39228,['Exótica']
Chenopodium album,250684,['Exótica']
Cisticola juncidis,251499,['Protegida']
Coracias garrulus,241810,['Protegida']
Cortaderia selloana,240757,['Invasora']
Cuculus canorus,242856,['Protegida']
Curruca melanocephala,257136,['Protegida']
Cuscuta campestris,243002,['Exótica']
Cyanistes caeruleus,243037,['Protegida']
Delichon urbicum,243973,['Protegida']
Ecballium elaterium,245384,['Exótica']
Echium arenarium,262509,['Amenazada']
Egretta garzetta,245522,['Protegida']
Elaeagnus angustifolia,245585,['Invasora']
Emberiza schoeniclus,245738,"['Amenazada', 'Protegida']"
Erigeron canadensis,246670,['Exótica']
Erithacus rubecula,246793,['Protegida']
Erodium,39955,['Exótica']
Estrilda astrild,247147,['Invasora']
Falco peregrinus,248593,['Protegida']
Falco subbuteo,248604,['Protegida']
Falco tinnunculus,248606,['Protegida']
Galerida cristata,249641,['Protegida']
Gazania rigens,249960,['Invasora']
Glycyrrhiza glabra,249097,['Exótica']
Gulosus aristotelis,257383,"['Amenazada', 'Protegida']"
Himantopus himantopus,251700,['Protegida']
Hirundo rustica,251811,['Protegida']
Ichthyaetus audouinii,158468,"['Amenazada', 'Protegida']"
Ichthyaetus melanocephalus,158466,['Protegida']
Ixobrychus minutus,242175,['Protegida']
Jynx torquilla,242433,['Protegida']
Kalanchoe,8891,['Exótica']
Kalanchoe blossfeldiana,242435,['Exótica']
Kalanchoe daigremontiana,242436,['Exótica']
Kalanchoe × houghtonii,262538,['Exótica']
Kochia scoparia,247923,['Invasora']
Koelreuteria paniculata,242551,['Exótica']
Lantana camara,42982,['Invasora']
Limoniastrum monopetalum,124725,['Amenazada']
Lonicera japonica,244846,['Invasora']
Luscinia megarhynchos,245135,['Protegida']
Malpolon monspessulanus,245783,['Protegida']
Maresia nana,263198,['Amenazada']
Merops apiaster,246744,['Protegida']
Mesembryanthemum cordifolium,262360,"['Exótica', 'Invasora']"
Metrosideros excelsa,246878,['Exótica']
Mirabilis jalapa,247209,['Invasora']
Motacilla alba,247528,['Protegida']
Motacilla flava,247561,['Protegida']
Muscicapa striata,247706,['Protegida']
Myiopsitta monachus,247963,['Invasora']
Myoporum laetum,74995,['Invasora']
Nycticorax nycticorax,249568,['Protegida']
Oenanthe oenanthe,250056,['Protegida']
Oenothera,36347,['Invasora']
Oenothera glazioviana,250079,['Exótica']
Oenothera lindheimeri,262678,['Invasora']
Opuntia,20457,['Invasora']
Opuntia stricta,250456,['Invasora']
Oriolus oriolus,252399,['Protegida']
Panicum repens,263196,['Exótica']
Parus major,252835,['Protegida']
Paspalum dilatatum,252843,['Exótica']
Paspalum vaginatum,38523,['Exótica']
Pennisetum villosum,252947,['Invasora']
Phoenicurus ochruros,253189,['Protegida']
Phoenix canariensis,253191,['Invasora']
Phylloscopus collybita,253262,['Protegida']
Picus sharpei,257193,['Protegida']
Pinus,12134,['Exótica']
Pittosporum tobira,242266,['Exótica']
Plumbago auriculata,242674,['Exótica']
Plumbago europaea,242681,['Exótica']
Pluvialis squatarola,242712,['Protegida']
Podarcis liolepis,254136,['Protegida']
Podiceps cristatus,242813,['Protegida']
Prunus persica,244197,['Exótica']
Psammodromus edwarsianus,244242,['Protegida']
Psittacula krameri,244453,['Invasora']
Ptyonoprogne rupestris,103858,['Protegida']
Ricinus communis,246277,['Invasora']
Riparia riparia,246290,['Protegida']
Saxicola rubetra,247975,"['Amenazada', 'Protegida']"
Saxicola rubicola,247994,['Protegida']
Senecio inaequidens,249550,['Invasora']
Serinus serinus,249670,['Protegida']
Setaria pumila,249753,['Invasora']
Sorghum halepense,250545,['Exótica']
Spinus spinus,21266,['Protegida']
Stachys maritima,263199,['Amenazada']
Stenotaphrum secundatum,251525,['Exótica']
Sylvia atricapilla,246236,['Protegida']
Tachybaptus ruficollis,246541,['Protegida']
Tachymarptis melba,246557,['Protegida']
Tadorna tadorna,246605,['Protegida']
Tarentola mauritanica,156225,['Protegida']
Thalasseus sandvicensis,93460,['Amenazada']
Trachemys scripta,251750,['Invasora']
Tringa totanus,252107,['Protegida']
Ulmus pumila,253471,['Invasora']
Upupa epops,253488,['Protegida']
Washingtonia filifera,253693,['Exótica']
Xanthium,49271,['Exótica']
Xanthium orientale,253711,['Exótica']
Yucca,43250,['Exótica']
Yucca aloifolia,253774,['Exótica']
