taxon_name,taxon_id
Abelmoschus sp,52759
Acacia longifolia,241813
Amaranthus,39181
Amaranthus muricatus,244212
Arctotheca calendula,245902
Austrocylindropuntia subulata,77957
Beta vulgaris,248167
Canna indica,248645
Chenopodium,39228
Chenopodium album,250684
Erigeron canadensis,246670
Cuscuta campestris,243002
Ecballium elaterium,245384
Erodium,39955
Glycyrrhiza glabra,249097
Kalanchoe,8891
Kalanchoe daigremontiana,242436
Kalanchoe blossfeldiana,242435
Kalanchoe × houghtonii,262538
Koelreuteria paniculata,242551
Mesembryanthemum cordifolium,262360
Metrosideros excelsa,246878
Oenothera glazioviana,250079
Panicum repens,263196
Paspalum dilatatum,252843
Paspalum vaginatum,38523
Pinus,12134
Pittosporum tobira,242266
Plumbago auriculata,242674
Plumbago europaea,242681
Prunus persica,244197
Sorghum halepense,250545
Stenotaphrum secundatum,251525
Washingtonia filifera,253693
Xanthium,49271
Xanthium orientale,253711
Yucca,43250
Yucca aloifolia,253774
