taxon_name,taxon_id
Agave americana,243104
Alopochen aegyptiaca,243926
Ambrosia,46926
Ambrosia psilostachya,244281
Araujia sericifera,245846
Arundo donax,246807
Asparagus acutifolius,246918
Carpobrotus,83185
Carpobrotus acinaciformis,249415
Carpobrotus acinaciformis,249415
Carpobrotus edulis,249420
Cenchrus,38944
Cenchrus clandestinus,263197
Cenchrus incertus,261975
Cortaderia selloana,240757
Elaeagnus angustifolia,245585
Estrilda astrild,247147
Gazania rigens,249960
Kochia scoparia,247923
Lantana camara,42982
Lonicera japonica,244846
Mesembryanthemum cordifolium,262360
Mirabilis jalapa,247209
Myiopsitta monachus,247963
Myoporum laetum,74995
Oenothera,36347
Oenothera lindheimeri,262678
Opuntia,20457
Opuntia stricta,250456
Pennisetum villosum,252947
Phoenix canariensis,253191
Psittacula krameri,244453
Ricinus communis,246277
Senecio inaequidens,249550
Setaria pumila,249753
Trachemys scripta,251750
Ulmus pumila,253471
